InvoiceNumber,Item,Amount,Tax,Total,Currency,Date
261411,Beverages and Catering,75456,15091.2,90547.2,USD,2017-01-08
193836,IT Support,184701,36940.2,221641,USD,2017-01-08
877063,Waste management services,2017-10-10,248479,49695.8,298175,CAD
834927,Concierge Services,7537,1507.4,9044.4,USD,2017-11-28
387670,IT Support,157760,31552,189312,CAD,2017-11-04
557214,Beverages and Catering,2017-12-21,83650,16730,100380,RON
686921,Various paper supplies,2017-12-13,113124,22624.8,135749,CAD
419492,Waste management services,2017-02-07,10440,2088,12528,RON
285220,Concierge Services,18236,3647.2,21883.2,EUR,2017-03-14
689619,Concierge Services,206081,41216.2,247297,CAD,2017-04-09
404115,Various paper supplies,173194,34638.8,207833,CAD,2017-04-22
851563,Various paper supplies,2017-05-19,22105,4421,26526,RON
707806,Beverages and Catering,2017-07-12,85929,17185.8,103115,CAD
680311,Waste management services,2017-08-01,6555,1311,7866,RON
984070,Various paper supplies,2017-09-10,180980,36196,217176,EUR
805805,Professional Services,2017-09-23,132764,26552.8,159317,CAD
261411,Beverages and Catering,75456,15091.2,90547.2,USD,2017-01-08
193836,IT Support,184701,36940.2,221641,USD,2017-01-08
877063,Waste management services,2017-10-10,248479,49695.8,298175,CAD
834927,Concierge Services,7537,1507.4,9044.4,USD,2017-11-28
387670,IT Support,157760,31552,189312,CAD,2017-11-04
557214,Beverages and Catering,2017-12-21,83650,16730,100380,RON
686921,Various paper supplies,2017-12-13,113124,22624.8,135749,CAD
419492,Waste management services,2017-02-07,10440,2088,12528,RON
285220,Concierge Services,18236,3647.2,21883.2,EUR,2017-03-14
689619,Concierge Services,206081,41216.2,247297,CAD,2017-04-09
404115,Various paper supplies,173194,34638.8,207833,CAD,2017-04-22
851563,Various paper supplies,2017-05-19,22105,4421,26526,RON
707806,Beverages and Catering,2017-07-12,85929,17185.8,103115,CAD
680311,Waste management services,2017-08-01,6555,1311,7866,RON
984070,Various paper supplies,2017-09-10,180980,36196,217176,EUR
805805,Professional Services,2017-09-23,132764,26552.8,159317,CAD
